,0,bill_number,display_name,first_name,id,last_name,party,state
11083,,189,Crapo (R-ID),Michael,S266,Crapo,R,ID
11084,,189,Domenici (R-NM),Pete,S027,Domenici,R,NM
11085,,189,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
11086,,189,Durbin (D-IL),Richard,S253,Durbin,D,IL
11087,,189,Ensign (R-NV),John,S281,Ensign,R,NV
11088,,189,Enzi (R-WY),Michael,S254,Enzi,R,WY
11089,,189,Fitzgerald (R-IL),Peter,S268,Fitzgerald,R,IL
11090,,189,Frist (R-TN),Bill,S241,Frist,R,TN
11091,,189,Gramm (R-TX),Phil,S171,Gramm,R,TX
11092,,189,Grassley (R-IA),Chuck,S153,Grassley,R,IA
11093,,189,Gregg (R-NH),Judd,S224,Gregg,R,NH
11094,,189,Hagel (R-NE),Chuck,S255,Hagel,R,NE
11095,,189,Hatch (R-UT),Orrin,S118,Hatch,R,UT
11096,,189,Helms (R-NC),Jesse,S046,Helms,R,NC
11097,,189,Hutchinson (R-AR),Tim,S256,Hutchinson,R,AR
11098,,189,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
11099,,189,Inhofe (R-OK),James,S236,Inhofe,R,OK
11100,,189,Johnson (D-SD),Tim,S257,Johnson,D,SD
11101,,189,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
11102,,189,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
11103,,189,Lott (R-MS),Trent,S203,Lott,R,MS
11104,,189,Lugar (R-IN),Richard,S105,Lugar,R,IN
11105,,189,McCain (R-AZ),John,S197,McCain,R,AZ
11106,,189,McConnell (R-KY),Mitch,S174,McConnell,R,KY
11107,,189,Miller (D-GA),Zell,S273,Miller,D,GA
11108,,189,Murkowski (R-AK),Frank,S157,Murkowski,R,AK
11109,,189,Nickles (R-OK),Don,S158,Nickles,R,OK
11110,,189,Roberts (R-KS),Pat,S260,Roberts,R,KS
11111,,189,Santorum (R-PA),Rick,S244,Santorum,R,PA
11112,,189,Sessions (R-AL),Jeff,S261,Sessions,R,AL
11113,,189,Shelby (R-AL),Richard,S184,Shelby,R,AL
11114,,189,Smith (R-OR),Gordon,S262,Smith,R,OR
11115,,189,Stevens (R-AK),Ted,S090,Stevens,R,AK
11116,,189,Thomas (R-WY),Craig,S246,Thomas,R,WY
11117,,189,Thompson (R-TN),Fred,S237,Thompson,R,TN
11118,,189,Thurmond (R-SC),Strom,S096,Thurmond,R,SC
11119,,189,Torricelli (D-NJ),Robert,S263,Torricelli,D,NJ
11120,,189,Voinovich (R-OH),George,S271,Voinovich,R,OH
11121,,189,Warner (R-VA),John,S143,Warner,R,VA
11122,,190,Akaka (D-HI),Daniel,S213,Akaka,D,HI
11123,,190,Baucus (D-MT),Max,S127,Baucus,D,MT
11124,,190,Bayh (D-IN),Evan,S264,Bayh,D,IN
11125,,190,Biden (D-DE),Joseph,S010,Biden,D,DE
11126,,190,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
11127,,190,Boxer (D-CA),Barbara,S223,Boxer,D,CA
11128,,190,Breaux (D-LA),John,S179,Breaux,D,LA
11129,,190,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
11130,,190,Carnahan (D-MO),Jean,S276,Carnahan,D,MO
11131,,190,Carper (D-DE),Thomas,S277,Carper,D,DE
11132,,190,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
11133,,190,Cleland (D-GA),Max,S251,Cleland,D,GA
11134,,190,Clinton (D-NY),Hillary,S278,Clinton,D,NY
11135,,190,Conrad (D-ND),Kent,S201,Conrad,D,ND
11136,,190,Corzine (D-NJ),Jon,S279,Corzine,D,NJ
11137,,190,Daschle (D-SD),Thomas,S185,Daschle,D,SD
11138,,190,Dayton (D-MN),Mark,S280,Dayton,D,MN
11139,,190,Dodd (D-CT),Christopher,S150,Dodd,D,CT
11140,,190,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
11141,,190,Durbin (D-IL),Richard,S253,Durbin,D,IL
11142,,190,Edwards (D-NC),John,S267,Edwards,D,NC
11143,,190,Feingold (D-WI),Russell,S230,Feingold,D,WI
11144,,190,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
11145,,190,Graham (D-FL),Bob,S199,Graham,D,FL
11146,,190,Harkin (D-IA),Tom,S172,Harkin,D,IA
11147,,190,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
11148,,190,Jeffords (I-VT),James,S204,Jeffords,I,VT
11149,,190,Johnson (D-SD),Tim,S257,Johnson,D,SD
11150,,190,Kennedy (D-MA),Edward,S055,Kennedy,D,MA
11151,,190,Kerry (D-MA),John,S173,Kerry,D,MA
11152,,190,Kohl (D-WI),Herb,S209,Kohl,D,WI
11153,,190,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
11154,,190,Leahy (D-VT),Patrick,S057,Leahy,D,VT
11155,,190,Levin (D-MI),Carl,S131,Levin,D,MI
11156,,190,Lieberman (D-CT),Joseph,S210,Lieberman,D,CT
11157,,190,Lincoln (D-AR),Blanche,S269,Lincoln,D,AR
11158,,190,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
11159,,190,Miller (D-GA),Zell,S273,Miller,D,GA
11160,,190,Murray (D-WA),Patty,S229,Murray,D,WA
11161,,190,Nelson (D-FL),Bill,S282,Nelson,D,FL
11162,,190,Nelson (D-NE),E.,S283,Nelson,D,NE
11163,,190,Reed (D-RI),Jack,S259,Reed,D,RI
11164,,190,Reid (D-NV),Harry,S198,Reid,D,NV
11165,,190,Rockefeller (D-WV),John,S176,Rockefeller,D,WV
11166,,190,Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD
11167,,190,Schumer (D-NY),Charles,S270,Schumer,D,NY
11168,,190,Snowe (R-ME),Olympia,S245,Snowe,R,ME
11169,,190,Specter (R-PA),Arlen,S161,Specter,R,PA
11170,,190,Stabenow (D-MI),Debbie,S284,Stabenow,D,MI
11171,,190,Torricelli (D-NJ),Robert,S263,Torricelli,D,NJ
11172,,190,Wellstone (D-MN),Paul,S217,Wellstone,D,MN
11173,,190,Wyden (D-OR),Ron,S247,Wyden,D,OR
11174,,191,Akaka (D-HI),Daniel,S213,Akaka,D,HI
11175,,191,Allard (R-CO),Wayne,S250,Allard,R,CO
