,bill_number,display_name,first_name,id,last_name,party,state
2376,35,Bennett (R-UT),Robert,S231,Bennett,R,UT
2377,35,Bond (R-MO),Christopher,S200,Bond,R,MO
2378,35,Brownback (R-KS),Samuel,S249,Brownback,R,KS
2379,35,Burns (R-MT),Conrad,S211,Burns,R,MT
2380,35,Burr (R-NC),Richard,S300,Burr,R,NC
2381,35,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
2382,35,Chambliss (R-GA),Saxby,S290,Chambliss,R,GA
2383,35,Coburn (R-OK),Tom,S301,Coburn,R,OK
2384,35,Cochran (R-MS),Thad,S136,Cochran,R,MS
2385,35,Coleman (R-MN),Norm,S291,Coleman,R,MN
2386,35,Collins (R-ME),Susan,S252,Collins,R,ME
2387,35,Cornyn (R-TX),John,S287,Cornyn,R,TX
2388,35,Craig (R-ID),Larry,S215,Craig,R,ID
2389,35,Crapo (R-ID),Mike,S266,Crapo,R,ID
2390,35,DeMint (R-SC),James,S302,DeMint,R,SC
2391,35,DeWine (R-OH),Mike,S240,DeWine,R,OH
2392,35,Dole (R-NC),Elizabeth,S292,Dole,R,NC
2393,35,Domenici (R-NM),Pete,S027,Domenici,R,NM
2394,35,Ensign (R-NV),John,S281,Ensign,R,NV
2395,35,Enzi (R-WY),Michael,S254,Enzi,R,WY
2396,35,Graham (R-SC),Lindsey,S293,Graham,R,SC
2397,35,Grassley (R-IA),Charles,S153,Grassley,R,IA
2398,35,Gregg (R-NH),Judd,S224,Gregg,R,NH
2399,35,Hagel (R-NE),Chuck,S255,Hagel,R,NE
2400,35,Hatch (R-UT),Orrin,S118,Hatch,R,UT
2401,35,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
2402,35,Inhofe (R-OK),Jim,S236,Inhofe,R,OK
2403,35,Isakson (R-GA),Johnny,S305,Isakson,R,GA
2404,35,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
2405,35,Lott (R-MS),Trent,S203,Lott,R,MS
2406,35,Lugar (R-IN),Richard,S105,Lugar,R,IN
2407,35,Martinez (R-FL),Mel,S304,Martinez,R,FL
2408,35,McCain (R-AZ),John,S197,McCain,R,AZ
2409,35,McConnell (R-KY),Mitch,S174,McConnell,R,KY
2410,35,Murkowski (R-AK),Lisa,S288,Murkowski,R,AK
2411,35,Roberts (R-KS),Pat,S260,Roberts,R,KS
2412,35,Santorum (R-PA),Rick,S244,Santorum,R,PA
2413,35,Sessions (R-AL),Jeff,S261,Sessions,R,AL
2414,35,Shelby (R-AL),Richard,S184,Shelby,R,AL
2415,35,Smith (R-OR),Gordon,S262,Smith,R,OR
2416,35,Snowe (R-ME),Olympia,S245,Snowe,R,ME
2417,35,Specter (R-PA),Arlen,S161,Specter,R,PA
2418,35,Stevens (R-AK),Ted,S090,Stevens,R,AK
2419,35,Sununu (R-NH),John,S296,Sununu,R,NH
2420,35,Thomas (R-WY),Craig,S246,Thomas,R,WY
2421,35,Thune (R-SD),John,S303,Thune,R,SD
